Symbol,Date,Close
GILD,22/11/2019,65.26
GILD,25/11/2019,67.22
GILD,26/11/2019,67.28
GILD,27/11/2019,67.12
GILD,29/11/2019,67.24
GILD,02/12/2019,66.12
GILD,03/12/2019,66.07
GILD,04/12/2019,66.75
GILD,05/12/2019,65.93
GILD,06/12/2019,67.08
GILD,09/12/2019,66.93
GILD,10/12/2019,67.08
GILD,11/12/2019,67.78
GILD,12/12/2019,67.63
GILD,13/12/2019,65.77
GILD,16/12/2019,66.12
GILD,17/12/2019,66.2
GILD,18/12/2019,65.68
GILD,19/12/2019,65.29
GILD,20/12/2019,66.85
GILD,23/12/2019,66.75
GILD,24/12/2019,66.72
GILD,26/12/2019,66.39
GILD,27/12/2019,65.95
GILD,30/12/2019,64.93
