Date,Price,Open,High,Low,Vol.,Change %
1-Oct-20,93.762,93.865,93.98,93.565,24.77K,-0.18%
30-Sep-20,93.927,93.9,94.25,93.7,20.01K,0.00%
29-Sep-20,93.927,94.205,94.35,93.86,17.39K,-0.40%
28-Sep-20,94.302,94.63,94.67,94.175,20.24K,-0.40%
25-Sep-20,94.682,94.345,94.795,94.225,18.88K,0.31%
24-Sep-20,94.394,94.44,94.655,94.225,23.95K,-0.05%
23-Sep-20,94.443,94.03,94.495,93.965,30.72K,0.45%
22-Sep-20,94.018,93.585,94.12,93.5,23.40K,0.36%
21-Sep-20,93.684,93.005,93.815,92.755,32.24K,0.79%
18-Sep-20,92.952,92.895,93.045,92.77,15.65K,-0.02%
17-Sep-20,92.969,93.19,93.63,92.875,31.14K,-0.28%
16-Sep-20,93.231,93.13,93.3,92.8,35.51K,0.16%
15-Sep-20,93.085,93.07,93.185,92.79,18.64K,0.19%
14-Sep-20,92.912,93.25,93.3,92.91,3.15K,-0.44%
11-Sep-20,93.32,93.345,93.375,93.11,11.40K,-0.01%
10-Sep-20,93.331,93.27,93.45,92.7,21.15K,0.08%
9-Sep-20,93.258,93.535,93.665,93.125,24.80K,-0.20%
8-Sep-20,93.441,93.05,93.52,93,30.04K,0.78%
7-Sep-20,92.719,92.8,93.09,92.8,7.78K,0.00%
4-Sep-20,92.719,92.825,93.245,92.665,25.88K,-0.02%
3-Sep-20,92.733,92.705,93.085,92.685,20.74K,-0.11%
2-Sep-20,92.834,92.265,92.875,92.235,24.03K,0.55%
1-Sep-20,92.325,92.178,92.403,91.737,-,0.21%
31-Aug-20,92.131,92.3,92.49,91.99,29.09K,-0.27%
28-Aug-20,92.379,93.03,93.1,92.18,35.37K,-0.66%
27-Aug-20,92.991,92.835,93.35,92.385,46.98K,-0.01%
26-Aug-20,92.996,93.02,93.375,92.835,18.76K,-0.02%
25-Aug-20,93.019,93.27,93.35,92.96,16.29K,-0.29%
24-Aug-20,93.289,93.215,93.34,92.83,16.20K,0.05%
21-Aug-20,93.24,92.69,93.48,92.565,25.53K,0.50%
20-Aug-20,92.778,92.975,93.245,92.71,19.71K,-0.11%
19-Aug-20,92.88,92.21,93.065,92.145,21.58K,0.67%
18-Aug-20,92.259,92.82,92.82,92.11,21.71K,-0.63%
17-Aug-20,92.847,93.035,93.115,92.75,12.46K,-0.26%
14-Aug-20,93.085,93.245,93.41,92.995,15.38K,-0.25%
13-Aug-20,93.317,93.365,93.39,92.905,19.29K,-0.10%
12-Aug-20,93.408,93.655,93.895,93.21,20.59K,-0.21%
11-Aug-20,93.6,93.595,93.735,93.14,23.50K,0.03%
10-Aug-20,93.569,93.415,93.685,93.275,15.75K,0.17%
7-Aug-20,93.412,92.785,93.625,92.74,25.84K,0.69%
